x_axis,y_axis_1,y_axis_2
1940,,
1941,,
1942,,
1943,,
1944,,
1945,6,
1946,11,
1947,32,
1948,110,
1949,235,
1950,369,5
1951,640,25
1952,1005,50
1953,1436,120
1954,2063,150
1955,3057,200
1956,4618,426
1957,6444,660
1958,9822,869
1959,15468,1060
1960,20434,1605
1961,24126,2471
1962,27387,3322
1963,29459,4238
1964,31056,5221
1965,31982,6129
1966,32040,7089
1967,31233,8339
1968,29224,9399
1969,27342,10538
1970,26662,11643
1971,26956,13092
1972,27912,14478
1973,28999,15915
1974,28965,17385
1975,27826,19055
1976,25579,21205
1977,25722,23044
1978,24826,25393
1979,24605,27935
1980,24304,30062
1981,23464,32049
1982,23708,33952
1983,24099,35804
1984,24357,37431
1985,24237,39197
1986,24401,45000
1987,24344,43000
1988,23586,41000
1989,22380,39000
1990,21004,37000
1991,17287,35000
1992,14747,33000
1993,13076,31000
1994,12555,29000
1995,12144,27000
1996,11009,25000
1997,10950,24000
1998,10871,23000
1999,10824,22000
2000,10577,21000
2001,10527,20000
2002,10475,19000
2003,10421,18000
2004,10358,18000
2005,10295,17000
2006,10104,16000
2007,9914,15537
2008,9620,14162
2009,9326,12787
2010,5113,12600
2011,5113,11400
2012,4954,5500
2013,4804,4512
2014,4761,4502
2015,4717,4502
2016,4368,4500
2017,4018,4500
