Date,Group,volume
20200531,송파구,29
20200530,송파구,25
20200529,송파구,20
20200528,송파구,17
20200527,송파구,13
20200526,송파구,20
20200525,송파구,20
20200524,송파구,18
20200523,송파구,29
20200522,송파구,22
20200521,송파구,7
20200520,송파구,3
20200519,송파구,6
20200518,송파구,29
20200517,송파구,25
20200516,송파구,12
20200515,송파구,11
20200514,송파구,14
20200513,송파구,10
20200512,송파구,15
20200511,송파구,25
20200510,송파구,17
20200509,송파구,8
20200508,송파구,11
20200507,송파구,11
20200506,송파구,18
20200505,송파구,18
20200504,송파구,17
20200503,송파구,18
20200502,송파구,30
20200501,송파구,28
20200430,송파구,19
20200429,송파구,24
20200428,송파구,17
20200427,송파구,17
20200426,송파구,15
20200425,송파구,24
20200424,송파구,15
20200423,송파구,12
20200422,송파구,10
20200421,송파구,9
20200420,송파구,7
20200419,송파구,16
20200418,송파구,12
20200417,송파구,19
20200416,송파구,30
20200415,송파구,36
20200414,송파구,27
20200413,송파구,10
20200412,송파구,18
20200411,송파구,23
20200410,송파구,25
20200409,송파구,23
20200408,송파구,17
20200407,송파구,25
20200406,송파구,20
20200405,송파구,23
20200404,송파구,25
20200403,송파구,26
20200402,송파구,24
20200401,송파구,32
20200331,송파구,26
20200330,송파구,26
20200329,송파구,15
20200328,송파구,7
20200327,송파구,20
20200326,송파구,32
20200325,송파구,30
20200324,송파구,36
20200323,송파구,26
20200322,송파구,16
20200321,송파구,16
20200320,송파구,9
20200319,송파구,22
20200318,송파구,30
20200317,송파구,19
20200316,송파구,12
20200315,송파구,17
20200314,송파구,16
20200313,송파구,14
20200312,송파구,11
20200311,송파구,14
20200310,송파구,30
20200309,송파구,44
20200308,송파구,43
20200307,송파구,36
20200306,송파구,25
20200305,송파구,28
20200304,송파구,34
20200303,송파구,33
20200302,송파구,31
20200301,송파구,32
20200229,송파구,16
20200228,송파구,17
20200227,송파구,7
20200226,송파구,10
20200225,송파구,11
20200224,송파구,19
20200221,송파구,50
20200220,송파구,40
20200219,송파구,24
20200218,송파구,15
20200217,송파구,20
20200216,송파구,19
20200215,송파구,50
20200214,송파구,62
20200213,송파구,53
20200212,송파구,34
20200211,송파구,36
20200210,송파구,33
20200209,송파구,26
20200208,송파구,32
20200207,송파구,24
20200206,송파구,20
20200205,송파구,12
20200204,송파구,18
20200203,송파구,17
20200202,송파구,54
20200201,송파구,52
20200131,송파구,19
20200130,송파구,10
20200129,송파구,9
20200128,송파구,6
20200127,송파구,6
20200126,송파구,18
20200125,송파구,34
20200124,송파구,50
20200123,송파구,40
20200122,송파구,27
20200121,송파구,24
20200120,송파구,29
20200119,송파구,43
20200118,송파구,39
20200117,송파구,35
20200116,송파구,29
20200115,송파구,23
20200114,송파구,22
20200113,송파구,18
20200112,송파구,36
20200111,송파구,40
20200110,송파구,49
20200109,송파구,42
20200108,송파구,20
20200107,송파구,4
20200106,송파구,29
20200105,송파구,33
20200104,송파구,38
20200103,송파구,43
20200102,송파구,38
20200101,송파구,21
